!allies ally
% %
%s %
'and 'and
'ands 'and
'andsome 'andsome
'andsomes 'andsome
'ang 'ang
'angs 'ang
'appen 'appen
'appened 'appen
'appening 'appen
'appens 'appen
'appier 'appy
'appy 'appy
'at 'at
'ate 'ate
'ated 'at
'ates 'ate
'ats 'at
'b 'b
'best 'b
'bok 'bok
'boks 'bok
'box 'box
'boxes 'box
'cause because
'cept 'cept
'cepting 'cept
'chute 'chute
'chutes 'chute
'come 'come
'coming 'come
'd would
'dog 'dog
'dogs 'dog
'ead 'ead
'eads 'ead
'eat 'eat
'eating 'eat
'eats 'eat
'eaven 'eaven
'eavens 'eaven
'eavier 'eavy
'eavy 'eavy
'eighties 'eighty
'eighty 'eighty
'elp 'elp
'elped 'elp
'elps 'elp
'em they
'everyth 'everyth
'everything 'everyth
'fifties 'fifty
'fifty 'fifty
'fraid 'fray
'fray 'fray
'gator 'gator
'gators 'gator
'ha 'ha
'has 'ha
'head 'head
'heads 'head
'hood 'hood
'hoods 'hood
'igh 'igh
'ighest 'igh
'it 'it
'its 'it
'j 'j
'jama 'jama
'jamas 'jama
'jed 'j
'keeper 'keeper
'keepers 'keeper
'le 'le
'les 'le
'll will
'look 'look
'looking 'look
'm be
'man 'man
'men 'man
'move 'move
'moves 'move
'n' and
'new 'new
'news 'new
'no 'no
'nos 'no
'nothing 'nthe
'nt 'nt
'nthe 'nthe
'old 'old
'olding 'old
'ole 'ole
'oles 'ole
'oover 'oover
'oovered 'oover
'ope 'ope
'opes 'ope
'orse 'orse
'orses 'orse
'ospital 'ospital
'ospitals 'ospital
'oss 'oss
'osses 'oss
'ouse 'ouse
'ouses 'ouse
'phon 'phon
'phone 'phone
'phoned 'phon
'phones 'phone
'r 'r
're be
'red 'r
's have
'said 'say
'say 'say
'saying 'say
'says 'say
'scape 'scape
'scaped 'scape
'set 'set
'sets 'set
'seventies 'seventy
'seventy 'seventy
'sit 'sit
'sitting 'sit
'sixties 'sixty
'sixty 'sixty
'speak 'speak
'speaking 'speak
't 'nt
'tatoe 'tatoe
'tatoes 'tatoe
'til until
'twenties 'twenty
'twenty 'twenty
'un 'un
'uns 'un
'urt 'urt
'urts 'urt
'usband 'usband
'usbands 'usband
've have
'work 'work
'working 'work
'works 'work
'ye 'ye
'yes 'ye
1-dodecanol 1-dodecanol
1-dodecanols 1-dodecanol
1-hitter 1-hitter
1-hitters 1-hitter
11-plus 11-plus
11-pluss 11-plus
2-hitter 2-hitter
2-hitters 2-hitter
3-d 3-d
3-ds 3-d
3-hitter 3-hitter
3-hitters 3-hitter
3d 3d
3ds 3d
3tc 3tc
3tcs 3tc
4-hitter 4-hitter
4-hitters 4-hitter
401-k 401-k
401-ks 401-k
4to 4to
4toes 4to
4wd 4wd
4wds 4wd
5-hitter 5-hitter
5-hitters 5-hitter
5-hydroxytryptamine 5-hydroxytryptamine
5-hydroxytryptamines 5-hydroxytryptamine
8vo 8vo
8voes 8vo
A-bomb A-bomb
A-bombs A-bomb
AGM AGM
AGMs AGM
Aborigine Aborigine
Aborigines Aborigine
Admiralties Admiralty
Admiralty Admiralty
Afghan Afghan
Afghans Afghan
African African
Africans African
Afrikaner Afrikaner
Afrikaners Afrikaner
Afro Afro
Afros Afro
Albanian Albanian
Albanians Albanian
Algerian Algerian
Algerians Algerian
Alsatian Alsatian
Alsatians Alsatian
American American
Americanism Americanism
Americanisms Americanism
Americanize Americanize
Americanized Americanize
Americanizes Americanize
Americanizing Americanize
Americans American
Anglo-Saxon Anglo-Saxon
Anglo-Saxons Anglo-Saxon
Angolan Angolan
Angolans Angolan
April April
Aprils April
Aquarius Aquarius
Aquariuses Aquarius
Arab Arab
Arabs Arab
Argentine Argentine
Argentines Argentine
Argentinian Argentinian
Argentinians Argentinian
Armenian Armenian
Armenians Armenian
Asian Asian
Asians Asian
Asiatic Asiatic
Asiatics Asiatic
August August
Augusts August
Australian Australian
Australians Australian
Austrian Austrian
Austrians Austrian
B B
B's B
BA BA
BAs BA
BCG BCG
BCGs BCG
BSc BSc
BScs BSc
Bahamian Bahamian
Bahamians Bahamian
Bahraini Bahraini
Bahrainis Bahraini
Band-Aid Band-Aid
Band-Aids Band-Aid
Bangladeshi Bangladeshi
Bangladeshis Bangladeshi
Baptist Baptist
Baptists Baptist
Bedouin Bedouin
Bedouins Bedouin
Beefeater Beefeater
Beefeaters Beefeater
Belgian Belgian
Belgians Belgian
Benedictine Benedictine
Benedictines Benedictine
Bengali Bengali
Bengalis Bengali
Biro Biro
Biros Biro
Boer Boer
Boers Boer
Bolivian Bolivian
Bolivians Bolivian
Bolshevik Bolshevik
Bolsheviks Bolshevik
Brahmin Brahmin
Brahmins Brahmin
Brazilian Brazilian
Brazilians Brazilian
Breathalyzer Breathalyzer
Breathalyzers Breathalyzer
Brit Brit
Britisher Britisher
Britishers Britisher
Briton Briton
Britons Briton
Brits Brit
Buddha Buddha
Buddhas Buddha
Buddhist Buddhist
Buddhists Buddhist
Bulgarian Bulgarian
Bulgarians Bulgarian
Burgomaster Burgomaster
Burgomasters Burgomaster
Burgundies Burgundy
Burgundy Burgundy
Burmese Burmese
Burmeses Burmese
Bushman Bushman
Bushmen Bushman
CBI CBI
CBIs CBI
CCTV CCTV
CCTVs CCTV
CD CD
CDs CD
CID CID
CIDs CID
CV CV
CV's CV
CVs CV
Caesarean Caesarean
Caesareans Caesarean
Cambodian Cambodian
Cambodians Cambodian
Canadian Canadian
Canadians Canadian
Catholic Catholic
Catholics Catholic
Celt Celt
Celts Celt
Chilean Chilean
Chileans Chilean
Chinese Chinese
Chineses Chinese
Christian Christian
Christians Christian
Christmas Christmas
Christmases Christmas
Colombian Colombian
Colombians Colombian
Conservatrice Conservatrice
Conservatrices Conservatrice
Cuban Cuban
Cubans Cuban
Cypriot Cypriot
Cypriots Cypriot
Czech Czech
Czechoslovakian Czechoslovakian
Czechoslovakians Czechoslovakian
Czechs Czech
D-day D-day
D-days D-day
DJ DJ
DJs DJ
Dalmatian Dalmatian
Dalmatians Dalmatian
Dane Dane
Danes Dane
December December
Decembers December
Dictaphone Dictaphone
Dictaphones Dictaphone
Dr Dr
Drs Dr
Dutchman Dutchman
Dutchmen Dutchman
Dutchwoman Dutchwoman
Dutchwomen Dutchwoman
EEC EEC
EECs EEC
EP EP
EPs EP
Easter Easter
Easters Easter
Ecuadorian Ecuadorian
Ecuadorians Ecuadorian
Egyptian Egyptian
Egyptians Egyptian
Englishman Englishman
Englishmen Englishman
Englishwoman Englishwoman
Englishwomen Englishwoman
Eskimo Eskimo
Eskimos Eskimo
Ethiopian Ethiopian
Ethiopians Ethiopian
Eucharist Eucharist
Eucharists Eucharist
Eurasian Eurasian
Eurasians Eurasian
European European
Europeans European
Excellencies Excellency
Excellency Excellency
FALSE FALSE
Februaries February
February February
Fedex Fedex
Fedexed Fedex
Fedexes Fedex
Fedexing Fedex
Filipino Filipino
Filipinos Filipino
Finn Finn
Finns Finn
Freemason Freemason
Freemasons Freemason
Frenchman Frenchman
Frenchmen Frenchman
Frenchwoman Frenchwoman
Frenchwomen Frenchwoman
Friday Friday
Fridays Friday
Frisbee Frisbee
Frisbees Frisbee
G-string G-string
G-strings G-string
GCE GCE
GCEs GCE
GI GI
GIs GI
GP GP
GPs GP
German German
Germans German
Ghanaian Ghanaian
Ghanaians Ghanaian
Governor-General Governor-General
Governor-Generals Governor-General
Governors-General Governor-General
Govt Govt
Govts Govt
Greek Greek
Greeks Greek
Guatemalan Guatemalan
Guatemalans Guatemalan
H-bomb H-bomb
H-bombs H-bomb
HQ HQ
HQs HQ
Haitian Haitian
Haitians Haitian
Hebrew Hebrew
Hebrews Hebrew
Highness Highness
Highnesses Highness
Hindu Hindu
Hindus Hindu
Honduran Honduran
Hondurans Honduran
Hungarian Hungarian
Hungarians Hungarian
IOU IOU
IOUs IOU
IQ IQ
IQs IQ
IUD IUD
IUDs IUD
Icelander Icelander
Icelanders Icelander
Indian Indian
Indians Indian
Indonesian Indonesian
Indonesians Indonesian
Iranian Iranian
Iranians Iranian
Iraqi Iraqi
Iraqis Iraqi
Irishman Irishman
Irishmen Irishman
Irishwoman Irishwoman
Irishwomen Irishwoman
Israeli Israeli
Israelis Israeli
Israelite Israelite
Israelites Israelite
Italian Italian
Italians Italian
JP JP
JPs JP
Jacuzzi Jacuzzi
Jacuzzis Jacuzzi
Jamaican Jamaican
Jamaicans Jamaican
Januaries January
January January
Jesuit Jesuit
Jesuits Jesuit
Jew Jew
Jewess Jewess
Jewesses Jewess
Jews Jew
Jordanian Jordanian
Jordanians Jordanian
Judas Judas
Judases Judas
Jugoslav Jugoslav
Jugoslavs Jugoslav
Julies July
July July
June June
Junes June
KO KO
KO'd KO
KO's KO
Kenyan Kenyan
Kenyans Kenyan
Korean Korean
Koreans Korean
Kuwaiti Kuwaiti
Kuwaitis Kuwaiti
L-plate L-plate
L-plates L-plate
LP LP
LPs LP
LV LV
LV's LV
Land-Rover Land-Rover
Land-Rovers Land-Rover
Laotian Laotian
Laotians Laotian
Lapp Lapp
Lapps Lapp
Latin Latin
Latins Latin
Laundromat Laundromat
Laundromats Laundromat
Leo Leo
Leos Leo
Liberian Liberian
Liberians Liberian
Libra Libra
Libras Libra
Libyan Libyan
Libyans Libyan
Lilo Lilo
Lilos Lilo
Lithuanian Lithuanian
Lithuanians Lithuanian
Londoner Londoner
Londoners Londoner
Lordship Lordship
Lordships Lordship
Luddite Luddite
Luddites Luddite
MBE MBE
MBEs MBE
MC MC
MCP MCP
MCPs MCP
MCs MC
MD MD
MDs MD
MEP MEP
MEPs MEP
MO MO
MO's MO
MOT MOT
MOTs MOT
MOs MO
MP MP
MPs MP
MSc MSc
MScs MSc
Madonna Madonna
Madonnas Madonna
Malay Malay
Malayan Malayan
Malayans Malayan
Malays Malay
Malaysian Malaysian
Malaysians Malaysian
Martian Martian
Martians Martian
Marxist Marxist
Marxists Marxist
Mauritian Mauritian
Mauritians Mauritian
Messrs Mr
Methodist Methodist
Methodists Methodist
Mexican Mexican
Mexicans Mexican
Mimeograph Mimeograph
Mimeographed Mimeograph
Mimeographing Mimeograph
Mimeographs Mimeograph
Mohammedan Mohammedan
Mohammedans Mohammedan
Monday Monday
Mondays Monday
Mongol Mongol
Mongolian Mongolian
Mongolians Mongolian
Mongols Mongol
Monsignor Monsignor
Monsignors Monsignor
Mormon Mormon
Mormons Mormon
Moroccan Moroccan
Moroccans Moroccan
Moslem Moslem
Moslems Moslem
Mr Mr
Ms Ms
Mse Ms
Mt Mt
Mts Mt
Muhammadan Muhammadan
Muhammadans Muhammadan
Muslim Muslim
Muslims Muslim
NCO NCO
NCO's NCO
Negress Negress
Negresses Negress
Negro Negro
Negroes Negro
